"ID","Species","metersLongitude","metersLatitude","decimalLatitude","decimalLongitude","source_ID","Sex","Age","Day","Month","Year","sampling_method","uncertainty","Sourcefile","yDay","wind_killed","d2H"
"X186","LACI",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald266","M","J",19,8,2007,"TURBINE_CARCASS",NA,"Baerwald",231,"yes",-111.274913078905
"X187","LACI",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald267","M","J",3,8,2007,"TURBINE_CARCASS",NA,"Baerwald",215,"yes",-110.118390215406
"X188","LACI",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald268","M","J",29,8,2006,"TURBINE_CARCASS",NA,"Baerwald",241,"yes",-109.427662013658
"X189","LACI",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald269","M","J",28,8,2007,"TURBINE_CARCASS",NA,"Baerwald",240,"yes",-106.293354321973
"X190","LANO",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald27","F","A",20,8,2007,"TURBINE_CARCASS",NA,"Baerwald",232,"yes",-89.5360325749168
"X191","LACI",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald270","M","J",15,8,2007,"TURBINE_CARCASS",NA,"Baerwald",227,"yes",-105.33726948975
"X192","LACI",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald271","M","J",2,8,2007,"TURBINE_CARCASS",NA,"Baerwald",214,"yes",-104.275791500695
"X193","LACI",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald272","M","J",12,8,2006,"TURBINE_CARCASS",NA,"Baerwald",224,"yes",-104.012983616559
"X194","LACI",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald273","M","J",20,8,2006,"TURBINE_CARCASS",NA,"Baerwald",232,"yes",-96.8953660373935
"X195","LACI",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald274","M","J",19,8,2007,"TURBINE_CARCASS",NA,"Baerwald",231,"yes",-96.5907276902004
"X196","LACI",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald275","M","J",8,8,2006,"TURBINE_CARCASS",NA,"Baerwald",220,"yes",-93.262393324557
"X197","LACI",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald276","M","J",10,8,2007,"TURBINE_CARCASS",NA,"Baerwald",222,"yes",-92.8928832591288
"X198","LACI",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald277","M","J",18,8,2006,"TURBINE_CARCASS",NA,"Baerwald",230,"yes",-88.9911074938304
"X199","LACI",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald278","M","J",3,8,2006,"TURBINE_CARCASS",NA,"Baerwald",215,"yes",-86.3974990473852
"X200","LACI",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald279","M","J",4,8,2007,"TURBINE_CARCASS",NA,"Baerwald",216,"yes",-81.4669813001321
"X201","LANO",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald28","F","A",9,9,2006,"TURBINE_CARCASS",NA,"Baerwald",252,"yes",-88.3013923239582
"X202","LACI",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald280","M","J",6,8,2007,"TURBINE_CARCASS",NA,"Baerwald",218,"yes",-80.6018663139634
"X203","LACI",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald281","M","J",6,8,2006,"TURBINE_CARCASS",NA,"Baerwald",218,"yes",-80.2717070835148
"X204","LACI",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald282","M","J",12,8,2007,"TURBINE_CARCASS",NA,"Baerwald",224,"yes",-79.8676816224965
