Species,location,date,age,sex,dD,dN,dC,dDprecip,ID,Source,month,day,year
Lasionycteris noctivagans,Summerview,31-Aug-07,j,m,-126.5,6.42,-24.34,-82.4138,S110,Baerwald,8,31,2007
Lasionycteris noctivagans,Summerview,29-Aug-06,j,m,-124.07,7.99,-24.38,-80.780354,S111,Baerwald,8,29,2006
Lasionycteris noctivagans,Summerview,17-Aug-06,j,m,-122.25,9.32,-24.69,-79.55695,S112,Baerwald,8,17,2006
Lasionycteris noctivagans,Summerview,30-Aug-07,j,m,-121.87,6.39,-24.33,-79.301514,S113,Baerwald,8,30,2007
Lasionycteris noctivagans,Summerview,1-Sep-07,j,m,-121.4,6.96,-24.76,-78.98558,S114,Baerwald,9,1,2007
Lasionycteris noctivagans,Summerview,13-Aug-06,j,m,-120.4,10.44,-24.54,-78.31338,S115,Baerwald,8,13,2006
Lasionycteris noctivagans,Summerview,12-Aug-07,j,m,-119.12,10.07,-23.49,-77.452964,S116,Baerwald,8,12,2007
Lasionycteris noctivagans,Summerview,14-Aug-06,j,m,-118.95,8.15,-24.56,-77.33869,S117,Baerwald,8,14,2006
Lasionycteris noctivagans,Summerview,3-Sep-07,j,m,-117.54,6.6,-24.63,-76.390888,S118,Baerwald,9,3,2007
Lasionycteris noctivagans,Summerview,27-Aug-06,j,m,-84.83,8.73,-24.95,-54.403226,S119,Baerwald,8,27,2006
Lasiurus cinereus,Summerview,30-Aug-07,a,f,-136.19,8.74,-25.04,-99.085311,H1,Baerwald,8,30,2007
Lasiurus cinereus,Summerview,17-Aug-06,a,f,-135.74,8.41,-25.09,-98.749206,H2,Baerwald,8,17,2006
Lasiurus cinereus,Summerview,15-Aug-06,a,f,-135.21,10.15,-24.6,-98.353349,H3,Baerwald,8,15,2006
Lasiurus cinereus,Summerview,18-Aug-07,a,f,-132.51,7.36,-23.72,-96.336719,H4,Baerwald,8,18,2007
Lasiurus cinereus,Summerview,6-Aug-07,a,f,-132.15,12.49,-25.33,-96.067835,H5,Baerwald,8,6,2007
Lasiurus cinereus,Summerview,22-Aug-06,a,f,-131.93,11.26,-25.7,-95.903517,H6,Baerwald,8,22,2006
Lasiurus cinereus,Summerview,15-Aug-06,a,f,-129.48,7.44,-24.6,-94.073612,H7,Baerwald,8,15,2006
Lasiurus cinereus,Summerview,6-Jul-06,a,f,-129.22,9.17,-23.41,-93.879418,H8,Baerwald,7,6,2006
Lasiurus cinereus,Summerview,2-Aug-06,a,f,-127.17,9.6,-24.5,-92.348273,H9,Baerwald,8,2,2006
Lasiurus cinereus,Summerview,11-Aug-07,a,f,-127.12,8.27,-24.11,-92.310928,H10,Baerwald,8,11,2007
Lasiurus cinereus,Summerview,5-Aug-06,a,f,-124.84,9.15,-23.73,-90.607996,H11,Baerwald,8,5,2006
Lasiurus cinereus,Summerview,3-Aug-07,a,f,-120.51,8.85,-22.78,-87.373919,H12,Baerwald,8,3,2007
Lasiurus cinereus,Summerview,27-Jul-06,a,f,-120.02,8.84,-23.34,-87.007938,H13,Baerwald,7,27,2006
Lasiurus cinereus,Summerview,3-Aug-06,a,f,-118.3,8.13,-25.85,-85.72327,H14,Baerwald,8,3,2006
Lasiurus cinereus,Summerview,14-Aug-06,a,f,-116.3,7.99,-23.9,-84.22947,H15,Baerwald,8,14,2006
Lasiurus cinereus,Summerview,6-Aug-06,a,f,-111.91,7.86,-23.15,-80.950579,H16,Baerwald,8,6,2006
Lasiurus cinereus,Summerview,28-Jul-06,a,f,-111.07,7.99,-22.59,-80.323183,H17,Baerwald,7,28,2006
Lasiurus cinereus,Summerview,4-Aug-06,a,f,-108.89,8.27,-25.81,-78.694941,H18,Baerwald,8,4,2006
Lasiurus cinereus,Summerview,7-Aug-06,a,f,-101.04,6.67,-25.16,-72.831776,H19,Baerwald,8,7,2006
