Provider,Site,Site ID,Box,Placement,use this to sort,Species,Year,ID_CP,Age,Sex,RC,dD,Source
WEST,"Backbone Mountain, MD",BKBN_MD,5,A13,414,ERBA,2011,081911_ERBA_T26_1,A,M,U,-36.96,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,4,E14,395,ERBA,2011,081211_ERBA_T44_2,A,M,U,-36.36,Pylant
WV DNR,Mt Storm,MTSTORM_WV,3,E10,290,ERBA,2011,092411_ERBA_T243_1,A,M,U,-35.88,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,4,E5,386,ERBA,2011,081811_ERBA_T18_1,A,M,U,-34.85,Pylant
WV DNR,Mt Storm,MTSTORM_WV,3,E19,299,ERBA,2010,091010_ERBA_T25_1,A,M,U,-34.45,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,5,A4,405,ERBA,2011,081111_ERBA_T40_1,A,F,U,-34.44,Pylant
WV DNR,Mt Storm,MTSTORM_WV,3,D5,265,ERBA,2011,082711_ERBA_T221_1,A,M,U,-34.33,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,3,B11,231,ERBA,2011,061211_ERBA_T46_1,A,U,U,-34.13,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,-,-,,ERBA,2011,060111_ERBA_T18_1,A,U,U,-34.08,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,4,D17,378,ERBA,2011,072511_ERBA_T42_2,A,M,U,-33.46,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,5,A8,409,ERBA,2011,082611_ERBA_T25_1,A,M,U,-33.28,Pylant
WV DNR,Mt Storm,MTSTORM_WV,4,B13,333,ERBA,2009,082609_ERBA_T91_1,A,M,U,-33.23,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,4,E19,400,ERBA,2011,071711_ERBA_T42_2,A,M,U,-33.11,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,3,B16,236,ERBA,2011,062711_ERBA_TALT2_1,A,M,U,-32.84,Pylant
WV DNR,Mt Storm,MTSTORM_WV,3,D6,266,ERBA,2011,092511_ERBA_T82_22,A,M,U,-31.88,Pylant
WV DNR,Mt Storm,MTSTORM_WV,3,E5,285,ERBA,2011,100611_ERBA_T27_1,A,M,U,-31.87,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,4,E20,401,ERBA,2011,071711_ERBA_T38_1,A,M,U,-31.16,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,3,B13,233,ERBA,2011,060911_ERBA_T36_1,A,M,U,-30.75,Pylant
WV DNR,Mt Storm,MTSTORM_WV,3,D4,264,ERBA,2011,090311_ERBA_T44_1,A,M,U,-30.59,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,5,B8,429,ERBA,2011,082611_ERBA_T34_1,A,M,U,-30.23,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,4,D18,379,ERBA,2011,071811_ERBA_TALT1_1,A,F,U,-30.09,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,5,A16,417,ERBA,2011,081811_ERBA_T21_1,A,M,U,-30.02,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,5,B2,423,ERBA,2011,072511_ERBA_T40_1,A,M,U,-29.99,Pylant
WV DNR,Mt Storm,MTSTORM_WV,3,D10,270,ERBA,2011,082711_ERBA_T75_1,A,M,U,-29.95,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,3,C1,241,ERBA,2011,052411_ERBA_TALT2_1,U,U,U,-29.8,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,3,B9,229,ERBA,2011,062311_ERBA_T33_1,A,M,U,-29.6,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,4,D10,371,ERBA,2011,071811_ERBA_TALT1_2,A,M,U,-29.46,Pylant
WV DNR,Mt Storm,MTSTORM_WV,3,E12,292,ERBA,2011,091011_ERBA_T23_1,A,M,U,-28.92,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,5,B10,431,ERBA,2011,090311_ERBA_T45_2,A,M,U,-28.25,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,5,A1,402,ERBA,2011,080111_ERBA_T41_1,A,M,U,-28.09,Pylant
WV DNR,Mt Storm,MTSTORM_WV,3,E18,298,ERBA,2010,091510_ERBA_T259_1,A,M,U,-27.92,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,5,B5,426,ERBA,2011,071811_ERBA_T38_1,A,M,U,-27.9,Pylant
WV DNR,Mt Storm,MTSTORM_WV,3,D14,274,ERBA,2011,070311_ERBA_T28_1,A,M,U,-27.32,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,3,B17,237,ERBA,2011,062211_ERBA_T44_1,A,M,U,-27.01,Pylant
WV DNR,Mt Storm,MTSTORM_WV,3,E2,282,ERBA,2011,100711_ERBA_T7_1,A,M,U,-26.82,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,4,D14,375,ERBA,2011,073111_ERBA_TALT2_1,A,F,U,-26.53,Pylant
WV DNR,Mt Storm,MTSTORM_WV,3,D18,278,ERBA,2011,101011_ERBA_T28_1,A,M,U,-26.44,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,4,E10,391,ERBA,2011,081011_ERBA_TALT1_1,A,F,U,-26.36,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,4,D16,377,ERBA,2011,072911_ERBA_T42_1,A,M,U,-26.13,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,3,B14,234,ERBA,2011,062511_ERBA_T45_1,A,M,U,-26.1,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,5,A3,404,ERBA,2011,090411_ERBA_T41_2,A,F,U,-25.64,Pylant
WV DNR,Mt Storm,MTSTORM_WV,3,E6,286,ERBA,2011,100811_ERBA_T78_1,A,M,U,-25.35,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,4,E7,388,ERBA,2011,081711_ERBA_T41_1,A,M,U,-24.91,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,4,D9,370,ERBA,2011,072011_ERBA_T23_1,A,M,U,-24.6,Pylant
WV DNR,Mt Storm,MTSTORM_WV,3,E14,294,ERBA,2011,081311_ERBA_T76_1,A,M,U,-24.35,Pylant
WV DNR,Mt Storm,MTSTORM_WV,4,B6,326,ERBA,2010,091910_ERBA_T21_1,A,M,U,-24.05,Pylant
WV DNR,Mt Storm,MTSTORM_WV,3,D16,276,ERBA,2011,052011_ERBA_T88_1,U,U,U,-23.99,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,3,B15,235,ERBA,2011,062411_ERBA_T42_1,A,M,U,-23.96,Pylant
WV DNR,Mt Storm,MTSTORM_WV,3,E7,287,ERBA,2011,082311_ERBA_T88_1,A,M,U,-23.96,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,4,D19,380,ERBA,2011,081811_ERBA_T23_1,A,M,U,-23.84,Pylant
WV DNR,Mt Storm,MTSTORM_WV,3,E4,284,ERBA,2011,092811_ERBA_T12_1,A,M,U,-23.62,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,3,B12,232,ERBA,2011,060611_ERBA_T43_2,U,U,U,-23.56,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,4,E12,393,ERBA,2011,072711_ERBA_T21_1,A,M,U,-23.12,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,5,B3,424,ERBA,2011,081211_ERBA_TALT2_1,A,F,U,-23.1,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,5,B9,430,ERBA,2011,081211_ERBA_T39_1,A,M,U,-22.33,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,4,D12,373,ERBA,2011,072111_ERBA_TALT2_1,A,M,U,-21.92,Pylant
WV DNR,Mt Storm,MTSTORM_WV,3,D17,277,ERBA,2011,100611_ERBA_T60_1,A,M,U,-21.52,Pylant
WV DNR,Mt Storm,MTSTORM_WV,3,D13,273,ERBA,2011,071011_ERBA_T33_1,A,M,U,-21.3,Pylant
WV DNR,Mt Storm,MTSTORM_WV,3,D19,279,ERBA,2011,093011_ERBA_T12_1,A,M,U,-21.15,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,5,A19,420,ERBA,2011,081911_ERBA_T23_1,A,M,U,-21.12,Pylant
WV DNR,Mt Storm,MTSTORM_WV,3,E16,296,ERBA,2010,091110_ERBA_T25_1,A,M,U,-21,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,3,B18,238,ERBA,2011,061111_ERBA_T44_1,A,M,U,-20.79,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,5,A7,408,ERBA,2011,082611_ERBA_T33_1,A,M,U,-20.79,Pylant
WV DNR,Mt Storm,MTSTORM_WV,4,B5,325,ERBA,2010,072210_ERBA_T35_1,A,M,U,-20.78,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,5,B11,432,ERBA,2011,072811_ERBA_TALT2_1,A,M,U,-20.76,Pylant
WV DNR,Mt Storm,MTSTORM_WV,4,B7,327,ERBA,2010,081710_ERBA_T208_1,A,M,U,-20.38,Pylant
