Provider,Site,Site ID,Box,Placement,use this to sort,Species,Year,ID_CP,Age,Sex,RC,dD,Source
WEST,"Backbone Mountain, MD",BKBN_MD,3,A2,202,SHBA,2011,060711_SHBA_T25_1,,,,,
WEST,"Backbone Mountain, MD",BKBN_MD,3,A16,216,SHBA,2011,060711_SHBA_T32_1,,,,,
WEST,"Backbone Mountain, MD",BKBN_MD,3,A14,214,SHBA,2011,060711_SHBA_T34_1,,,,,
WEST,"Backbone Mountain, MD",BKBN_MD,3,A15,215,SHBA,2011,060711_SHBA_T45_1,,,,,
WEST,"Backbone Mountain, MD",BKBN_MD,3,A7,207,SHBA,2011,060811_SHBA_T23_1,,,,,
WEST,"Backbone Mountain, MD",BKBN_MD,3,A3,203,SHBA,2011,060911_SHBA_T25_1,,,,,
WEST,"Backbone Mountain, MD",BKBN_MD,3,A8,208,SHBA,2011,060911_SHBA_T34_1,,,,,
WEST,"Backbone Mountain, MD",BKBN_MD,3,A10,210,SHBA,2011,060911_SHBA_T39_1,,,,,
WEST,"Backbone Mountain, MD",BKBN_MD,3,A9,209,SHBA,2011,060911_SHBA_T43_1,,,,,
WEST,"Backbone Mountain, MD",BKBN_MD,3,A6,206,SHBA,2011,061211_SHBA_T19_1,,,,,
WEST,"Backbone Mountain, MD",BKBN_MD,3,A4,204,SHBA,2011,061411_SHBA_T32_1,,,,,
WEST,"Backbone Mountain, MD",BKBN_MD,3,A13,213,SHBA,2011,061411_SHBA_T32_2,,,,,
WEST,"Backbone Mountain, MD",BKBN_MD,3,A11,211,SHBA,2011,061511_SHBA_T45_1,,,,,
WEST,"Backbone Mountain, MD",BKBN_MD,3,A12,212,SHBA,2011,061711_SHBA_T22_1,,,,,
WEST,"Backbone Mountain, MD",BKBN_MD,3,A18,218,SHBA,2011,061711_SHBA_T42_2,,,,,
WV DNR,Mt Storm,MTSTORM_WV,3,C20,260,SHBA,2011,062010_SHBA_T81_1,,,,,
WEST,"Backbone Mountain, MD",BKBN_MD,3,A5,205,SHBA,2011,062011_SHBA_T25_1,,,,,
WEST,"Backbone Mountain, MD",BKBN_MD,3,A17,217,SHBA,2011,062111_SHBA_T41_2,,,,,
WEST,"Backbone Mountain, MD",BKBN_MD,5,C19,460,SHBA,2011,081911_SHBA_T36_1,,,,,
WEST,"Backbone Mountain, MD",BKBN_MD,5,C20,461,SHBA,2011,082011_SHBA_T34_3,,,,,
WEST,"Backbone Mountain, MD",BKBN_MD,5,C16,457,SHBA,2011,082811_SHBA_T24_1,,,,,
WEST,"Backbone Mountain, MD",BKBN_MD,5,D3,464,SHBA,2011,082911_SHBA_T23_1,,,,,
WEST,"Backbone Mountain, MD",BKBN_MD,5,D1,462,SHBA,2011,082911_SHBA_T39_1,,,,,
WEST,"Backbone Mountain, MD",BKBN_MD,5,C15,456,SHBA,2011,083111_SHBA_T21_1,,,,,
WEST,"Backbone Mountain, MD",BKBN_MD,5,C13,454,SHBA,2011,083111_SHBA_T26_1,,,,,
WEST,"Backbone Mountain, MD",BKBN_MD,5,C14,455,SHBA,2011,083111_SHBA_T32_1,,,,,
WEST,"Backbone Mountain, MD",BKBN_MD,5,D2,463,SHBA,2011,083111_SHBA_T46_1,,,,,
WEST,"Backbone Mountain, MD",BKBN_MD,5,D7,468,SHBA,2011,090111_SHBA_T22.5_1,,,,,
WEST,"Backbone Mountain, MD",BKBN_MD,5,C17,458,SHBA,2011,090211_SHBA_T38_1,,,,,
WV DNR,Mt Storm,MTSTORM_WV,3,C10,250,SHBA,2011,090211_SHBA_T39_1,,,,,
WV DNR,Mt Storm,MTSTORM_WV,3,C4,244,SHBA,2011,090211_SHBA_T39_2,,,,,
WEST,"Backbone Mountain, MD",BKBN_MD,5,D5,466,SHBA,2011,090211_SHBA_T44_1,,,,,
WEST,"Backbone Mountain, MD",BKBN_MD,5,D4,465,SHBA,2011,090311_SHBA_T40_1,,,,,
WV DNR,Mt Storm,MTSTORM_WV,3,C16,256,SHBA,2011,090409_SHBA_T80_1,,,,,
WEST,"Backbone Mountain, MD",BKBN_MD,5,C18,459,SHBA,2011,090411_SHBA_T40_2,,,,,
WEST,"Backbone Mountain, MD",BKBN_MD,5,D6,467,SHBA,2011,090411_SHBA_T40_3,,,,,
WEST,"Backbone Mountain, MD",BKBN_MD,5,B18,439,SHBA,2011,091711_SHBA_T45_1,,,,,
WEST,"Backbone Mountain, MD",BKBN_MD,5,C6,447,SHBA,2011,092111_SHBA_T19_1,,,,,
WEST,"Backbone Mountain, MD",BKBN_MD,5,B17,438,SHBA,2011,092111_SHBA_T27_1,,,,,
WEST,"Backbone Mountain, MD",BKBN_MD,5,C5,446,SHBA,2011,092111_SHBA_T33_1,,,,,
WEST,"Backbone Mountain, MD",BKBN_MD,5,C7,448,SHBA,2011,092111_SHBA_T36_1,,,,,
WEST,"Backbone Mountain, MD",BKBN_MD,5,C3,444,SHBA,2011,092111_SHBA_TALT2_1,,,,,
WV DNR,Mt Storm,MTSTORM_WV,3,C17,257,SHBA,2011,092509_SHBA_T19_1,,,,,
WEST,"Backbone Mountain, MD",BKBN_MD,5,B16,437,SHBA,2011,092811_SHBA_T18_1,,,,,
WEST,"Backbone Mountain, MD",BKBN_MD,5,B15,436,SHBA,2011,092811_SHBA_T38_1,,,,,
WEST,"Backbone Mountain, MD",BKBN_MD,5,B19,440,SHBA,2011,092811_SHBA_TALT2_1,,,,,
WEST,"Backbone Mountain, MD",BKBN_MD,5,C8,449,SHBA,2011,092911_SHBA_T43_1,,,,,
WEST,"Backbone Mountain, MD",BKBN_MD,5,C4,445,SHBA,2011,092911_SHBA_T43_2,,,,,
WV DNR,Mt Storm,MTSTORM_WV,3,C19,259,SHBA,2011,100209_SHBA_T70_1,,,,,
WEST,"Backbone Mountain, MD",BKBN_MD,5,C10,451,SHBA,2011,100511_SHBA_T44_1,,,,,
WEST,"Backbone Mountain, MD",BKBN_MD,5,C12,453,SHBA,2011,100511_SHBA_T45_2,,,,,
WEST,"Backbone Mountain, MD",BKBN_MD,5,C9,450,SHBA,2011,100511_SHBA_TALT1_2,,,,,
WV DNR,Mt Storm,MTSTORM_WV,3,C14,254,SHBA,2011,100609_SHBA_T42_1,,,,,
WV DNR,Mt Storm,MTSTORM_WV,3,C13,253,SHBA,2011,100809_SHBA_T59_1,,,,,
WV DNR,Mt Storm,MTSTORM_WV,3,C12,252,SHBA,2011,100810_SHBA_T37_1,,,,,
WV DNR,Mt Storm,MTSTORM_WV,3,C5,245,SHBA,2011,100911_SHBA_T80_1,,,,,
WV DNR,Mt Storm,MTSTORM_WV,3,C8,248,SHBA,2011,101011_SHBA_T212_1,,,,,
WV DNR,Mt Storm,MTSTORM_WV,3,C6,246,SHBA,2011,101011_SHBA_T243_1,,,,,
WEST,"Backbone Mountain, MD",BKBN_MD,5,B20,441,SHBA,2011,101111_SHBA_T26_1,,,,,
WV DNR,Mt Storm,MTSTORM_WV,3,C7,247,SHBA,2011,101111_SHBA_T88_2,,,,,
WV DNR,Mt Storm,MTSTORM_WV,3,C11,251,SHBA,2011,101410_SHBA_T30_1,,,,,
WV DNR,Mt Storm,MTSTORM_WV,3,C9,249,SHBA,2011,101511_SHBA_T212_1,,,,,
WEST,"Backbone Mountain, MD",BKBN_MD,5,C1,442,SHBA,2011,102511_SHBA_T24_1,,,,,
WEST,"Backbone Mountain, MD",BKBN_MD,5,C11,452,SHBA,2011,102511_SHBA_T26_1,,,,,
WEST,"Backbone Mountain, MD",BKBN_MD,5,C2,443,SHBA,2011,102811_SHBA_T32_1,,,,,
