Institution,Specimen ID,Specimen sex,Collection date (Julian date),Collection year,dDFur,Source,Species
Royal Ontario Museum (ROM),ROM3012190006,female,234,1930,-124,Fraser,LANO
Royal Ontario Museum (ROM),ROM32571,female,256,1947,-61,Fraser,LANO
Royal Ontario Museum (ROM),ROM3508010181,female,179,1935,-88,Fraser,LANO
Royal Ontario Museum (ROM),ROM3511250220,female,249,1935,-88,Fraser,LANO
Royal Ontario Museum (ROM),ROM3601020007,female,223,1929,-72,Fraser,LANO
Royal Ontario Museum (ROM),ROM74799,female,132,1975,-65,Fraser,LANO
Royal Ontario Museum (ROM),ROM78278,female,108,1955,-86,Fraser,LANO
Royal Ontario Museum (ROM),ROM78280,female,310,1959,-72,Fraser,LANO
Texas A&M University Biodiversity Research and Teaching Collections (TCWC),TCWC15155,male,169,1965,-79,Fraser,LANO
Texas A&M University Biodiversity Research and Teaching Collections (TCWC),TCWC15156,male,169,1965,-77,Fraser,LANO
Texas A&M University Biodiversity Research and Teaching Collections (TCWC),TCWC15157,male,169,1965,-84,Fraser,LANO
Texas A&M University Biodiversity Research and Teaching Collections (TCWC),TCWC15158,male,169,1965,-46,Fraser,LANO
Texas A&M University Biodiversity Research and Teaching Collections (TCWC),TCWC15159,male,169,1965,-91,Fraser,LANO
Texas A&M University Biodiversity Research and Teaching Collections (TCWC),TCWC22560,male,152,1968,-89,Fraser,LANO
Texas A&M University Biodiversity Research and Teaching Collections (TCWC),TCWC22561,male,152,1968,-51,Fraser,LANO
Texas A&M University Biodiversity Research and Teaching Collections (TCWC),TCWC22562,male,153,1968,-109,Fraser,LANO
Texas A&M University Biodiversity Research and Teaching Collections (TCWC),TCWC28524,male,170,1974,-88,Fraser,LANO
Texas A&M University Biodiversity Research and Teaching Collections (TCWC),TCWC28526,male,197,1969,-58,Fraser,LANO
Texas A&M University Biodiversity Research and Teaching Collections (TCWC),TCWC33413,male,77,1978,-75,Fraser,LANO
Texas A&M University Biodiversity Research and Teaching Collections (TCWC),TCWC30227,female,267,1975,-98,Fraser,LANO
Texas A&M University Biodiversity Research and Teaching Collections (TCWC),TCWC33412,female,324,1977,-73,Fraser,LANO
Texas A&M University Biodiversity Research and Teaching Collections (TCWC),TCWC33414,female,6,1978,-93,Fraser,LANO
Texas A&M University Biodiversity Research and Teaching Collections (TCWC),TCWC33415,female,6,1978,-81,Fraser,LANO
The Field Museum of Natural History (FMNH),FMNH167017,male,307,1925,-69,Fraser,LANO
The Field Museum of Natural History (FMNH),FMNH175333,male,256,1999,-53,Fraser,LANO
The Field Museum of Natural History (FMNH),FMNH17855,male,36,1910,-71,Fraser,LANO
The Field Museum of Natural History (FMNH),FMNH5834,male,262,1898,-66,Fraser,LANO
The Field Museum of Natural History (FMNH),FMNH124583,female,62,1983,-70,Fraser,LANO
The Field Museum of Natural History (FMNH),FMNH134585,female,70,1987,-100,Fraser,LANO
The Field Museum of Natural History (FMNH),FMNH137328,female,264,1915,-84,Fraser,LANO
The Field Museum of Natural History (FMNH),FMNH175334,female,8,2002,-66,Fraser,LANO
The Field Museum of Natural History (FMNH),FMNH64436,female,221,1948,-56,Fraser,LANO
The Field Museum of Natural History (FMNH),FMNH6618,female,235,1899,-66,Fraser,LANO
The Field Museum of Natural History (FMNH),FMNH73997,female,166,1950,-48,Fraser,LANO
