AL CODE,Working_ID_Code,Spp,Sex,Age,RC,BatNotes,Collected_Date,Day,Month,Year,Migratory Status,Sampling Method,Source_sampling Agency,Source_name,Source_St,Authorship Considerations?,Verbatim Coords (N),Verbatim Coords (W),Coords_N,Coords_W,Source_County,Source_Region,Source Site,ADDRESS,Other_notes,Even more notes,Data source,Arrival Data / At AL?,Adequate Bat Info?,Adequate Date Info?,Adequate Location info,Hair? (Expected),Tissue? (Expected),In Cortney's Thesis?,In Cortney's Data Sheets?,Hair Sample Location,dD.Values,OurLabID,
2151,348366,LABO,F,,,,7/2/72,2,7,1972,Migrating,Turbine,,Cortney Pylant,MS,,-91.507,31.1,31.10,-91.51,Wilkinson County,,"Woodville, 12.4 Mi W",,dD values from Pylant 2014,,All_SmithLABOMain Spreadsheet (\flood),,Y,Y,Y,Data Only,1,YES,YES,,-21.85,Other,
2152,348362,LABO,F,,,,7/2/72,2,7,1972,Migrating,Turbine,,Cortney Pylant,MS,,-91.507,31.1,31.10,-91.51,Wilkinson County,,"Woodville, 12.4 Mi W",,dD values from Pylant 2014,,All_SmithLABOMain Spreadsheet (\flood),,Y,Y,Y,Data Only,1,YES,YES,,-19.46,Other,
2153,348361,LABO,F,,,,7/2/72,2,7,1972,Migrating,Turbine,,Cortney Pylant,MS,,-91.507,31.1,31.10,-91.51,Wilkinson County,,"Woodville, 12.4 Mi W",,dD values from Pylant 2014,,All_SmithLABOMain Spreadsheet (\flood),,Y,Y,Y,Data Only,1,YES,YES,,-19.42,Other,
2154,348359,LABO,F,,,,7/2/72,2,7,1972,Migrating,Turbine,,Cortney Pylant,MS,,-91.507,31.1,31.10,-91.51,Wilkinson County,,"Woodville, 12.4 Mi W",,dD values from Pylant 2014,,All_SmithLABOMain Spreadsheet (\flood),,Y,Y,Y,Data Only,1,YES,YES,,-18.89,Other,
2155,348365,LABO,F,,,,7/2/72,2,7,1972,Migrating,Turbine,,Cortney Pylant,MS,,-91.507,31.1,31.10,-91.51,Wilkinson County,,"Woodville, 12.4 Mi W",,dD values from Pylant 2014,,All_SmithLABOMain Spreadsheet (\flood),,Y,Y,Y,Data Only,1,YES,YES,,-18.28,Other,
2156,117413,LABO,F,,,,7/3/02,3,7,1902,Migrating,Turbine,,Cortney Pylant,TX,,-99.24,30.077,30.08,-99.24,Kerr County,,Ingram,,dD values from Pylant 2014,,All_SmithLABOMain Spreadsheet (\flood),,Y,Y,Y,Data Only,1,YES,YES,,-18.25,Other,
2157,117412,LABO,F,,,,7/3/02,3,7,1902,Migrating,Turbine,,Cortney Pylant,TX,,-99.24,30.077,30.08,-99.24,Kerr County,,Ingram,,dD values from Pylant 2014,,All_SmithLABOMain Spreadsheet (\flood),,Y,Y,Y,Data Only,1,YES,YES,,-10.68,Other,
2158,505297,LABO,F,,,,7/5/72,5,7,1972,Summering,Turbine,,Cortney Pylant,DC,,-77.036,38.907,38.91,-77.04,,,Washington,,dD values from Pylant 2014,,All_SmithLABOMain Spreadsheet (\flood),,Y,Y,Y,Data Only,1,YES,YES,,-33.63,Other,
2159,169711,LABO,Unknown ,,,,7/6/10,6,7,1910,Summering,Turbine,,Cortney Pylant,TX,,-96.8,32.78,32.78,-96.80,,,Dallas,,dD values from Pylant 2014,,All_SmithLABOMain Spreadsheet (\flood),,N,Y,Y,Data Only,1,YES,YES,,-26.18,Other,
2160,363717,LABO,F,,,,7/10/62,10,7,1962,Migrating,Turbine,,Cortney Pylant,Indiana,,-85.445,40.45,40.45,-85.45,Blackford County,,"Hartford City, 4 Mi W",,dD values from Pylant 2014,,All_SmithLABOMain Spreadsheet (\flood),,Y,Y,Y,Data Only,1,YES,YES,,-49.54,Other,
2161,363716,LABO,F,,,,7/10/62,10,7,1962,Migrating,Turbine,,Cortney Pylant,Indiana,,-85.445,40.45,40.45,-85.45,Blackford County,,"Hartford City, 4 Mi W",,dD values from Pylant 2014,,All_SmithLABOMain Spreadsheet (\flood),,Y,Y,Y,Data Only,1,YES,YES,,-29.29,Other,
2162,216644,LABO,M ,,,,7/11/16,11,7,1916,Migrating,Turbine,,Cortney Pylant,DC,,-77.036,38.907,38.91,-77.04,,,Washington,,dD values from Pylant 2014,,All_SmithLABOMain Spreadsheet (\flood),,N,Y,Y,Data Only,1,YES,YES,,-34.48,Other,
2163,248960,LABO,Unknown ,,,,7/11/29,11,7,1929,Migrating,Turbine,,Cortney Pylant,FL,,-87.217,30.421,30.42,-87.22,,,Pensacola,,dD values from Pylant 2014,,All_SmithLABOMain Spreadsheet (\flood),,N,Y,Y,Data Only,1,YES,YES,,-25.37,Other,
2164,363836,LABO,F,,,,7/12/60,12,7,1960,Migrating,Turbine,,Cortney Pylant,Indiana,,-86.875,40.417,40.42,-86.88,Tippecanoe County,,Lafayette,,dD values from Pylant 2014,,All_SmithLABOMain Spreadsheet (\flood),,Y,Y,Y,Data Only,1,YES,YES,,-57.62,Other,
2165,111070,LABO,F,,,,7/14/00,14,7,1900,Migrating,Turbine,,Cortney Pylant,NY,,-75.688,42.967,42.97,-75.69,,,Peterboro,,dD values from Pylant 2014,,All_SmithLABOMain Spreadsheet (\flood),,Y,Y,Y,Data Only,1,YES,YES,,-38.88,Other,
2166,268953,LABO,M ,,,,7/14/39,14,7,1939,Migrating,Turbine,,Cortney Pylant,FL,,-82.058,29.217,29.22,-82.06,,,Silver Spring,,dD values from Pylant 2014,,All_SmithLABOMain Spreadsheet (\flood),,N,Y,Y,Data Only,1,YES,YES,,-24.86,Other,
2167,204979,LABO,F,,,,7/15/14,15,7,1914,Migrating,Turbine,,Cortney Pylant,MD,,-77.177,38.97,38.97,-77.18,,,Plummer Island,,dD values from Pylant 2014,,All_SmithLABOMain Spreadsheet (\flood),,Y,Y,Y,Data Only,1,YES,YES,,-30.75,Other,
2168,254344,LABO,F,,,,7/15/01,15,7,1901,Migrating,Turbine,,Cortney Pylant,GA,,-84.435,33.707,33.71,-84.44,,,Fort Mcpherson,,dD values from Pylant 2014,,All_SmithLABOMain Spreadsheet (\flood),,Y,Y,Y,Data Only,1,YES,YES,,-18.30,Other,
2169,363846,LABO,F,,,,7/16/62,16,7,1962,Migrating,Turbine,,Cortney Pylant,Indiana,,-87.219,38.252,38.25,-87.22,Pike County,,"Spurgeon, 2 Mi E",,dD values from Pylant 2014,,All_SmithLABOMain Spreadsheet (\flood),,Y,Y,Y,Data Only,1,YES,YES,,-34.90,Other,
2170,282670,LABO,M ,,,,7/17/47,17,7,1947,Migrating,Turbine,,Cortney Pylant,PA,,-75.328,41.087,41.09,-75.33,Monroe County,,Swiftwater,,dD values from Pylant 2014,,All_SmithLABOMain Spreadsheet (\flood),,N,Y,Y,Data Only,1,YES,YES,,-28.26,Other,
2171,363848,LABO,F,,,,7/19/62,19,7,1962,Migrating,Turbine,,Cortney Pylant,Indiana,,-86.264,40.422,40.42,-86.26,Howard County,,"Russiaville, 0.5 Mi NE",,dD values from Pylant 2014,,All_SmithLABOMain Spreadsheet (\flood),,Y,Y,Y,Data Only,1,YES,YES,,-44.85,Other,
2172,127860,LABO,M ,,,,7/19/03,19,7,1903,Migrating,Turbine,,Cortney Pylant,MD,,-76.495,38.974,38.97,-76.49,,,Annapolis,,dD values from Pylant 2014,,All_SmithLABOMain Spreadsheet (\flood),,N,Y,Y,Data Only,1,YES,YES,,-39.66,Other,
2173,114790,LABO,F,,,,7/23/01,23,7,1901,Migrating,Turbine,,Cortney Pylant,IL,,-91.05,40.9,40.90,-91.05,Henderson County,,,,dD values from Pylant 2014,,All_SmithLABOMain Spreadsheet (\flood),,Y,Y,Y,Data Only,1,YES,YES,,-29.85,Other,
2174,297189,LABO,M ,,,,7/24/07,24,7,1907,Migrating,Turbine,,Cortney Pylant,KS,,-95.23,38.971,38.97,-95.23,Douglas County,,Lawrence,,dD values from Pylant 2014,,All_SmithLABOMain Spreadsheet (\flood),,N,Y,Y,Data Only,1,YES,YES,,-39.52,Other,
2175,363734,LABO,F,,,,7/25/62,25,7,1962,Migrating,Turbine,,Cortney Pylant,Indiana,,-86.140,39.774,39.77,-86.14,Marion County,,,,dD values from Pylant 2014,,All_SmithLABOMain Spreadsheet (\flood),,Y,Y,Y,Data Only,1,YES,YES,,-37.14,Other,
2176,114792,LABO,M ,,,,7/25/01,25,7,1901,Migrating,Turbine,,Cortney Pylant,IL,,-91.05,40.9,40.90,-91.05,Henderson County,,,,dD values from Pylant 2014,,All_SmithLABOMain Spreadsheet (\flood),,N,Y,Y,Data Only,1,YES,YES,,-32.91,Other,
2177,114791,LABO,M ,,,,7/25/01,25,7,1901,Migrating,Turbine,,Cortney Pylant,IL,,-91.05,40.9,40.90,-91.05,Henderson County,,,,dD values from Pylant 2014,,All_SmithLABOMain Spreadsheet (\flood),,N,Y,Y,Data Only,1,YES,YES,,-31.77,Other,
2178,560460,LABO,F,,,,7/26/68,26,7,1968,Migrating,Turbine,,Cortney Pylant,MD,,-76.638,38.291,38.29,-76.64,Saint Marys County,,Leonardtown,,dD values from Pylant 2014,,All_SmithLABOMain Spreadsheet (\flood),,Y,Y,Y,Data Only,1,YES,YES,,-39.36,Other,
2179,282671,LABO,M ,,,,7/26/47,26,7,1947,Migrating,Turbine,,Cortney Pylant,PA,,-77.11,40.291,40.29,-77.11,Perry County,,"Shermans Dale, 4 Mi SE",,dD values from Pylant 2014,,All_SmithLABOMain Spreadsheet (\flood),,N,Y,Y,Data Only,1,YES,YES,,-35.69,Other,
2180,363719,LABO,M ,,,,7/26/62,26,7,1962,Migrating,Turbine,,Cortney Pylant,Indiana,,-85.666,41.359,41.36,-85.67,Kosciusko County,,Tri-County Fish and Game Area,,dD values from Pylant 2014,,All_SmithLABOMain Spreadsheet (\flood),,N,Y,Y,Data Only,1,YES,YES,,-33.77,Other,
2181,363839,LABO,F,,,,7/27/61,27,7,1961,Migrating,Turbine,,Cortney Pylant,Indiana,,-87.084,40.104,40.10,-87.08,Fountain County,,"0.5 mi S Sterling, Coal Creek",,dD values from Pylant 2014,,All_SmithLABOMain Spreadsheet (\flood),,Y,Y,Y,Data Only,1,YES,YES,,-41.07,Other,
2182,169454,LABO,F,,,,7/29/10,29,7,1910,Migrating,Turbine,,Cortney Pylant,KY,,-82.6,38.405,38.41,-82.60,,,Catlettsburg,,dD values from Pylant 2014,,All_SmithLABOMain Spreadsheet (\flood),,Y,Y,Y,Data Only,1,YES,YES,,-33.45,Other,
2183,297190,LABO,M ,,,,7/30/07,30,7,1907,Migrating,Turbine,,Cortney Pylant,KS,,-95.23,38.971,38.97,-95.23,Douglas County,,Lawrence,,dD values from Pylant 2014,,All_SmithLABOMain Spreadsheet (\flood),,N,Y,Y,Data Only,1,YES,YES,,-37.63,Other,
